"PlayerID","GameID","Name","minutes","Team","is_starter","matchup","description","Date"
"90fc12ec-4902-4a22-b881-76f02b553aac","ca41e145-b84c-4dfe-8c28-bbccf315cd3b","Jimmy Butler",30.68,"MIA",1,"WAS v MIA","W 118 - 98",2024-11-02
"91ebb7f8-ecf3-45e9-ae28-e2a33275de48","d5c2e49b-c74a-4fd1-9a83-69a2761e28b3","Stephon Castle",15.45,"SAS",0,"MIN v SAS","W 113 - 103",2024-11-02
"928ac3ae-76e5-4f01-a383-8b204e3c00c5","26915d41-81c3-4342-85e6-5e8137654041","Kevin Porter Jr.",18.87,"LAC",0,"OKC v LAC","L 92 - 105",2024-11-02
"92f4b55a-5c69-49a8-aacc-8963fe144c47","542d9d90-d145-4a76-88d9-53bcce641c9d","Craig Porter Jr.",5.43,"CLE",0,"CLE v MIL","W 114 - 113",2024-11-02
"956fd9e6-62df-4c42-b7a9-0fef6acf1a54","ae595060-96b6-4c28-9928-3e2246ac8624","Yuki Kawamura",1.45,"MEM",0,"PHI v MEM","W 124 - 107",2024-11-02
"970408f1-da88-4c98-9c98-cc8038b4ac55","2d5e454b-db3c-4e83-852b-4490d894b730","Al Horford",27.13,"BOS",1,"CHA v BOS","W 113 - 103",2024-11-02
"97dfd481-fc24-4364-a273-ba5a61d3e8fe","12f144bc-a946-4b75-9e97-6ada84792af9","Jabari Smith Jr.",37.32,"HOU",1,"GSW v HOU","L 121 - 127",2024-11-02
"9888c259-064b-4680-a72a-f09a304776d1","ca41e145-b84c-4dfe-8c28-bbccf315cd3b","Kel'el Ware",2.43,"MIA",0,"WAS v MIA","W 118 - 98",2024-11-02
"99dd9721-fed0-4543-b697-240b9ffc508d","ca41e145-b84c-4dfe-8c28-bbccf315cd3b","Jaime Jaquez Jr.",24.72,"MIA",0,"WAS v MIA","W 118 - 98",2024-11-02
"9d3112f7-81fb-4abb-bdb4-c5729e50e4fe","26915d41-81c3-4342-85e6-5e8137654041","Ousmane Dieng",8.1,"OKC",0,"OKC v LAC","W 105 - 92",2024-11-02
"9ded7498-bc69-453a-856e-0b314c09e2fd","f8559499-b556-4802-a1ec-0aa4e8684b7a","Tyus Jones",28.72,"PHX",1,"PHX v POR","W 103 - 97",2024-11-02
"9e134752-3fb7-4673-8572-85bf80c73b4f","d5c2e49b-c74a-4fd1-9a83-69a2761e28b3","Keldon Johnson",29.3,"SAS",0,"MIN v SAS","W 113 - 103",2024-11-02
"9e9544e5-140e-4aa8-98ec-e99bbe2c05a9","26915d41-81c3-4342-85e6-5e8137654041","Jordan Miller",4.22,"LAC",0,"OKC v LAC","L 92 - 105",2024-11-02
"9ecf56f3-a681-4f5d-b47e-001a0ec32e3e","542d9d90-d145-4a76-88d9-53bcce641c9d","Gary Trent Jr.",34.02,"MIL",1,"CLE v MIL","L 113 - 114",2024-11-02
"9f4df789-befa-4413-ab9b-7833d78a4faf","d5c2e49b-c74a-4fd1-9a83-69a2761e28b3","Malaki Branham",14.18,"SAS",0,"MIN v SAS","W 113 - 103",2024-11-02
"9f83918f-4808-483e-b94b-e79fdbe5932f","2d5e454b-db3c-4e83-852b-4490d894b730","LaMelo Ball",37.12,"CHA",1,"CHA v BOS","L 103 - 113",2024-11-02
"a0608320-8e85-49f5-aab8-658f41e9fd73","ae595060-96b6-4c28-9928-3e2246ac8624","Jaren Jackson Jr.",30.97,"MEM",1,"PHI v MEM","W 124 - 107",2024-11-02
"a3aba29f-bf29-4e40-9059-998d69fc4f6f","14e39d21-56c4-4643-836c-615cbead65fd","Jonathan Mogbo",16.25,"TOR",0,"TOR v SAC","W 131 - 128",2024-11-02
"a41d709e-440b-42d2-a523-3e58acf72910","d5c2e49b-c74a-4fd1-9a83-69a2761e28b3","Donte DiVincenzo",27.87,"MIN",0,"MIN v SAS","L 103 - 113",2024-11-02
"a541e93d-ce1b-441c-9d7b-9bc3a04a764d","31ff7b95-3aa0-4226-b3c6-cfce104924b8","Aaron Gordon",26.27,"DEN",1,"UTA v DEN","W 129 - 103",2024-11-02
"a835ac46-4915-4891-90b3-57b3816f4d50","d5c2e49b-c74a-4fd1-9a83-69a2761e28b3","Anthony Edwards",35.55,"MIN",1,"MIN v SAS","L 103 - 113",2024-11-02
"aae6ca57-6d30-4d3f-89c1-cc6b5955b821","26915d41-81c3-4342-85e6-5e8137654041","Luguentz Dort",29.73,"OKC",1,"OKC v LAC","W 105 - 92",2024-11-02
"ab4afb95-a283-4d25-8cf7-77b81ce4ae8c","d5c2e49b-c74a-4fd1-9a83-69a2761e28b3","Harrison Barnes",37.93,"SAS",1,"MIN v SAS","W 113 - 103",2024-11-02
"ad3e7e84-01a1-4c57-ae18-dfb7ed18bcd1","2d5e454b-db3c-4e83-852b-4490d894b730","Josh Green",21.22,"CHA",1,"CHA v BOS","L 103 - 113",2024-11-02
"ad5cf64b-cc8f-438b-a587-f83fc84f05f7","31ff7b95-3aa0-4226-b3c6-cfce104924b8","Hunter Tyson",25.17,"DEN",0,"UTA v DEN","W 129 - 103",2024-11-02
"af3eb49b-1886-47a7-9f9b-2aab9c2ca640","31ff7b95-3aa0-4226-b3c6-cfce104924b8","Zeke Nnaji",4.13,"DEN",0,"UTA v DEN","W 129 - 103",2024-11-02
"afe5dc05-a727-485d-9501-70d9d75062ad","ae595060-96b6-4c28-9928-3e2246ac8624","KJ Martin",20.3,"PHI",0,"PHI v MEM","L 107 - 124",2024-11-02
"b060cdcd-0ab1-4f4b-8c13-a4b9d915f90e","31ff7b95-3aa0-4226-b3c6-cfce104924b8","Brice Sensabaugh",16.05,"UTA",0,"UTA v DEN","L 103 - 129",2024-11-02
"b0706f91-4c08-4424-91fb-0582473d7653","31ff7b95-3aa0-4226-b3c6-cfce104924b8","Trey Alexander",4.13,"DEN",0,"UTA v DEN","W 129 - 103",2024-11-02
"b15a0aa7-7f84-4721-adf3-a0a956d60591","26915d41-81c3-4342-85e6-5e8137654041","Amir Coffey",20.13,"LAC",0,"OKC v LAC","L 92 - 105",2024-11-02
"b41ad886-c0a4-47ac-ab9c-81a9ee304451","ca41e145-b84c-4dfe-8c28-bbccf315cd3b","Carlton Carrington",37,"WAS",1,"WAS v MIA","L 98 - 118",2024-11-02
"b531842c-159f-46d7-934d-c009021f0b99","d5c2e49b-c74a-4fd1-9a83-69a2761e28b3","Rob Dillingham",3.13,"MIN",0,"MIN v SAS","L 103 - 113",2024-11-02
"b614ea71-e189-4582-ae7a-497978b28446","2d5e454b-db3c-4e83-852b-4490d894b730","Payton Pritchard",29.1,"BOS",0,"CHA v BOS","W 113 - 103",2024-11-02
"b6a44e71-b635-49cd-8412-d2e7b8b736cf","2d5e454b-db3c-4e83-852b-4490d894b730","Tidjane Salaün",15.75,"CHA",0,"CHA v BOS","L 103 - 113",2024-11-02
"b6c11a66-29b2-4838-998e-c2a9f49b32f6","ae595060-96b6-4c28-9928-3e2246ac8624","Jake LaRavia",26.15,"MEM",0,"PHI v MEM","W 124 - 107",2024-11-02
"b93dee02-6f14-46ad-af9a-70dff378a9f4","31ff7b95-3aa0-4226-b3c6-cfce104924b8","Christian Braun",32.82,"DEN",1,"UTA v DEN","W 129 - 103",2024-11-02
"b98d578a-45f7-4692-97d0-72f001861708","f8559499-b556-4802-a1ec-0aa4e8684b7a","Anfernee Simons",40.55,"POR",1,"PHX v POR","L 97 - 103",2024-11-02
"ba61794c-e725-4b66-89f1-b6a544daa008","f8559499-b556-4802-a1ec-0aa4e8684b7a","Devin Booker",36.03,"PHX",1,"PHX v POR","W 103 - 97",2024-11-02
"bce09262-8541-4723-a1f1-a9136e4fe284","f8559499-b556-4802-a1ec-0aa4e8684b7a","Mason Plumlee",16.5,"PHX",0,"PHX v POR","W 103 - 97",2024-11-02
"bd4e0300-48f6-4563-94ed-d519edb3bc7e","ca41e145-b84c-4dfe-8c28-bbccf315cd3b","Jonas Valančiūnas",16.02,"WAS",0,"WAS v MIA","L 98 - 118",2024-11-02
"bf663312-e9ca-49a4-ae98-bb73e5d0a436","542d9d90-d145-4a76-88d9-53bcce641c9d","Pat Connaughton",9.7,"MIL",0,"CLE v MIL","L 113 - 114",2024-11-02
"c02296d5-86b0-4968-a3a1-602d17e232c6","d5c2e49b-c74a-4fd1-9a83-69a2761e28b3","Nickeil Alexander-Walker",23.9,"MIN",0,"MIN v SAS","L 103 - 113",2024-11-02
"c14d67dc-1fda-4c50-9749-6c1b77b76601","14e39d21-56c4-4643-836c-615cbead65fd","Chris Boucher",24.95,"TOR",0,"TOR v SAC","W 131 - 128",2024-11-02
"c224a8f5-9345-485d-a980-42d147e72ac8","ae595060-96b6-4c28-9928-3e2246ac8624","Scotty Pippen Jr.",29.02,"MEM",0,"PHI v MEM","W 124 - 107",2024-11-02
"c22b04ac-3359-4c29-8639-c67fb5d9f750","31ff7b95-3aa0-4226-b3c6-cfce104924b8","Cody Williams",19.72,"UTA",1,"UTA v DEN","L 103 - 129",2024-11-02
"c2e20d69-13e7-487a-b5ad-c4023e9e2496","2d5e454b-db3c-4e83-852b-4490d894b730","Jordan Walsh",13.37,"BOS",0,"CHA v BOS","W 113 - 103",2024-11-02
"c40e22c5-b483-4228-90f5-456e2ce22f76","542d9d90-d145-4a76-88d9-53bcce641c9d","Taurean Prince",31.67,"MIL",1,"CLE v MIL","L 113 - 114",2024-11-02
"c59b069d-11cd-4781-b709-d4b5c142542b","ca41e145-b84c-4dfe-8c28-bbccf315cd3b","Johnny Davis",17.68,"WAS",0,"WAS v MIA","L 98 - 118",2024-11-02
"c618ac1e-e4ce-4f7f-9756-e68cb2a81e3b","12f144bc-a946-4b75-9e97-6ada84792af9","Tari Eason",35.33,"HOU",0,"GSW v HOU","L 121 - 127",2024-11-02
"c77dd679-6182-4224-bf5f-e94601cbb17a","ae595060-96b6-4c28-9928-3e2246ac8624","Ricky Council IV",7.85,"PHI",0,"PHI v MEM","L 107 - 124",2024-11-02
"c788187d-c54c-4fdf-ae66-be36fbd61985","14e39d21-56c4-4643-836c-615cbead65fd","Jakob Pöltl",33.82,"TOR",1,"TOR v SAC","W 131 - 128",2024-11-02
